Time	Node	Type	Packets	
1.5	leaf-9	CacheHits	0
1.5	leaf-9	CacheMisses	49
1.5	leaf-10	CacheHits	0
1.5	leaf-10	CacheMisses	47
1.5	leaf-11	CacheHits	0
1.5	leaf-11	CacheMisses	50
1.5	leaf-12	CacheHits	0
1.5	leaf-12	CacheMisses	43
1.5	leaf-13	CacheHits	41
1.5	leaf-13	CacheMisses	2
1.5	leaf-14	CacheHits	0
1.5	leaf-14	CacheMisses	44
1.5	leaf-15	CacheHits	0
1.5	leaf-15	CacheMisses	45
1.5	leaf-16	CacheHits	0
1.5	leaf-16	CacheMisses	42
2	gw-root	CacheHits	0
2	gw-root	CacheMisses	51
2	bb-1	CacheHits	0
2	bb-1	CacheMisses	51
2	bb-2	CacheHits	47
2	bb-2	CacheMisses	50
2	bb-3	CacheHits	51
2	bb-3	CacheMisses	51
2	bb-4	CacheHits	54
2	bb-4	CacheMisses	48
2	bb-5	CacheHits	66
2	bb-5	CacheMisses	51
2	bb-6	CacheHits	47
2	bb-6	CacheMisses	49
2	bb-7	CacheHits	49
2	bb-7	CacheMisses	49
2	bb-8	CacheHits	59
2	bb-8	CacheMisses	53
2	cgw-1	CacheHits	17
2	cgw-1	CacheMisses	52
2	cgw-2	CacheHits	33
2	cgw-2	CacheMisses	42
2	cgw-3	CacheHits	0
2	cgw-3	CacheMisses	46
2	cgw-4	CacheHits	52
2	cgw-4	CacheMisses	49
2	cgw-5	CacheHits	44
2	cgw-5	CacheMisses	44
2	cgw-6	CacheHits	42
2	cgw-6	CacheMisses	54
2	cgw-7	CacheHits	0
2	cgw-7	CacheMisses	50
2	cgw-8	CacheHits	34
2	cgw-8	CacheMisses	57
2	leaf-1	CacheHits	0
2	leaf-1	CacheMisses	50
2	leaf-2	CacheHits	0
2	leaf-2	CacheMisses	52
2	leaf-3	CacheHits	0
2	leaf-3	CacheMisses	42
2	leaf-4	CacheHits	0
2	leaf-4	CacheMisses	52
2	leaf-5	CacheHits	0
2	leaf-5	CacheMisses	46
2	leaf-6	CacheHits	0
2	leaf-6	CacheMisses	0
2	leaf-7	CacheHits	0
2	leaf-7	CacheMisses	52
2	leaf-8	CacheHits	0
2	leaf-8	CacheMisses	48
2	leaf-9	CacheHits	0
2	leaf-9	CacheMisses	54
2	leaf-10	CacheHits	0
2	leaf-10	CacheMisses	39
2	leaf-11	CacheHits	0
2	leaf-11	CacheMisses	54
2	leaf-12	CacheHits	0
2	leaf-12	CacheMisses	42
2	leaf-13	CacheHits	52
2	leaf-13	CacheMisses	0
2	leaf-14	CacheHits	0
2	leaf-14	CacheMisses	51
2	leaf-15	CacheHits	0
2	leaf-15	CacheMisses	58
2	leaf-16	CacheHits	0
2	leaf-16	CacheMisses	52
2.5	gw-root	CacheHits	0
2.5	gw-root	CacheMisses	55
2.5	bb-1	CacheHits	0
2.5	bb-1	CacheMisses	55
2.5	bb-2	CacheHits	51
2.5	bb-2	CacheMisses	55
2.5	bb-3	CacheHits	52
2.5	bb-3	CacheMisses	53
2.5	bb-4	CacheHits	49
2.5	bb-4	CacheMisses	52
2.5	bb-5	CacheHits	59
2.5	bb-5	CacheMisses	52
2.5	bb-6	CacheHits	57
2.5	bb-6	CacheMisses	54
2.5	bb-7	CacheHits	39
2.5	bb-7	CacheMisses	49
2.5	bb-8	CacheHits	50
2.5	bb-8	CacheMisses	57
2.5	cgw-1	CacheHits	45
2.5	cgw-1	CacheMisses	50
2.5	cgw-2	CacheHits	47
2.5	cgw-2	CacheMisses	58
2.5	cgw-3	CacheHits	0
2.5	cgw-3	CacheMisses	54
2.5	cgw-4	CacheHits	54
2.5	cgw-4	CacheMisses	53
2.5	cgw-5	CacheHits	42
2.5	cgw-5	CacheMisses	51
2.5	cgw-6	CacheHits	48
2.5	cgw-6	CacheMisses	49
2.5	cgw-7	CacheHits	0
2.5	cgw-7	CacheMisses	49
2.5	cgw-8	CacheHits	48
2.5	cgw-8	CacheMisses	57
2.5	leaf-1	CacheHits	0
2.5	leaf-1	CacheMisses	46
2.5	leaf-2	CacheHits	0
2.5	leaf-2	CacheMisses	50
2.5	leaf-3	CacheHits	0
2.5	leaf-3	CacheMisses	50
2.5	leaf-4	CacheHits	0
2.5	leaf-4	CacheMisses	59
2.5	leaf-5	CacheHits	0
2.5	leaf-5	CacheMisses	52
2.5	leaf-6	CacheHits	0
2.5	leaf-6	CacheMisses	0
2.5	leaf-7	CacheHits	0
2.5	leaf-7	CacheMisses	59
2.5	leaf-8	CacheHits	0
2.5	leaf-8	CacheMisses	54
2.5	leaf-9	CacheHits	0
2.5	leaf-9	CacheMisses	52
2.5	leaf-10	CacheHits	0
2.5	leaf-10	CacheMisses	55
2.5	leaf-11	CacheHits	0
2.5	leaf-11	CacheMisses	49
2.5	leaf-12	CacheHits	0
2.5	leaf-12	CacheMisses	48
2.5	leaf-13	CacheHits	0
2.5	leaf-13	CacheMisses	1
2.5	leaf-14	CacheHits	0
2.5	leaf-14	CacheMisses	48
2.5	leaf-15	CacheHits	0
2.5	leaf-15	CacheMisses	55
2.5	leaf-16	CacheHits	0
2.5	leaf-16	CacheMisses	47
3	gw-root	CacheHits	0
3	gw-root	CacheMisses	56
3	bb-1	CacheHits	12
3	bb-1	CacheMisses	57
3	bb-2	CacheHits	76
3	bb-2	CacheMisses	59
3	bb-3	CacheHits	66
3	bb-3	CacheMisses	61
3	bb-4	CacheHits	53
3	bb-4	CacheMisses	54
3	bb-5	CacheHits	53
3	bb-5	CacheMisses	52
3	bb-6	CacheHits	61
3	bb-6	CacheMisses	59
3	bb-7	CacheHits	38
3	bb-7	CacheMisses	57
3	bb-8	CacheHits	51
3	bb-8	CacheMisses	42
3	cgw-1	CacheHits	44
3	cgw-1	CacheMisses	52
3	cgw-2	CacheHits	46
3	cgw-2	CacheMisses	52
3	cgw-3	CacheHits	0
3	cgw-3	CacheMisses	57
3	cgw-4	CacheHits	2
3	cgw-4	CacheMisses	59
3	cgw-5	CacheHits	41
3	cgw-5	CacheMisses	60
3	cgw-6	CacheHits	36
3	cgw-6	CacheMisses	45
3	cgw-7	CacheHits	0
3	cgw-7	CacheMisses	51
3	cgw-8	CacheHits	50
3	cgw-8	CacheMisses	43
3	leaf-1	CacheHits	0
3	leaf-1	CacheMisses	44
3	leaf-2	CacheHits	0
3	leaf-2	CacheMisses	53
3	leaf-3	CacheHits	0
3	leaf-3	CacheMisses	47
3	leaf-4	CacheHits	0
3	leaf-4	CacheMisses	53
3	leaf-5	CacheHits	0
3	leaf-5	CacheMisses	58
3	leaf-6	CacheHits	0
3	leaf-6	CacheMisses	0
3	leaf-7	CacheHits	0
3	leaf-7	CacheMisses	59
3	leaf-8	CacheHits	0
3	leaf-8	CacheMisses	58
3	leaf-9	CacheHits	0
3	leaf-9	CacheMisses	53
3	leaf-10	CacheHits	0
3	leaf-10	CacheMisses	60
3	leaf-11	CacheHits	0
3	leaf-11	CacheMisses	46
3	leaf-12	CacheHits	0
3	leaf-12	CacheMisses	36
3	leaf-13	CacheHits	0
