Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
2.5	bb-1	combined	Drop	0	0	0	0
2.5	bb-2	combined	Drop	0	0	0	0
2.5	bb-3	combined	Drop	0	0	0	0
2.5	bb-4	combined	Drop	0	0	0	0
2.5	bb-5	combined	Drop	0	0	0	0
2.5	bb-6	combined	Drop	0	0	0	0
2.5	bb-7	combined	Drop	0	0	0	0
2.5	bb-8	combined	Drop	0	0	0	0
2.5	cgw-1	combined	Drop	0	0	0	0
2.5	cgw-2	combined	Drop	0	0	0	0
2.5	cgw-3	combined	Drop	0	0	0	0
2.5	cgw-4	combined	Drop	0	0	0	0
2.5	cgw-5	combined	Drop	0	0	0	0
2.5	cgw-6	combined	Drop	0	0	0	0
2.5	cgw-7	combined	Drop	0	0	0	0
2.5	cgw-8	combined	Drop	0	0	0	0
2.5	leaf-1	combined	Drop	0	0	0	0
2.5	leaf-2	combined	Drop	0	0	0	0
2.5	leaf-3	combined	Drop	0	0	0	0
2.5	leaf-4	combined	Drop	0	0	0	0
2.5	leaf-5	combined	Drop	0	0	0	0
2.5	leaf-6	combined	Drop	0	0	0	0
2.5	leaf-7	combined	Drop	0	0	0	0
2.5	leaf-8	combined	Drop	0	0	0	0
2.5	leaf-9	combined	Drop	0	0	0	0
2.5	leaf-10	combined	Drop	0	0	0	0
2.5	leaf-11	combined	Drop	0	0	0	0
2.5	leaf-12	combined	Drop	0	0	0	0
2.5	leaf-13	combined	Drop	0	0	0	0
2.5	leaf-14	combined	Drop	0	0	0	0
2.5	leaf-15	combined	Drop	0	0	0	0
2.5	leaf-16	combined	Drop	0	0	0	0
3	gw-root	combined	Drop	0	0	0	0
3	bb-1	combined	Drop	0	0	0	0
3	bb-2	combined	Drop	0	0	0	0
3	bb-3	combined	Drop	0	0	0	0
3	bb-4	combined	Drop	0	0	0	0
3	bb-5	combined	Drop	0	0	0	0
3	bb-6	combined	Drop	0	0	0	0
3	bb-7	combined	Drop	0	0	0	0
3	bb-8	combined	Drop	0	0	0	0
3	cgw-1	combined	Drop	0	0	0	0
3	cgw-2	combined	Drop	0	0	0	0
3	cgw-3	combined	Drop	0	0	0	0
3	cgw-4	combined	Drop	0	0	0	0
3	cgw-5	combined	Drop	0	0	0	0
3	cgw-6	combined	Drop	0	0	0	0
3	cgw-7	combined	Drop	0	0	0	0
3	cgw-8	combined	Drop	0	0	0	0
3	leaf-1	combined	Drop	0	0	0	0
3	leaf-2	combined	Drop	0	0	0	0
3	leaf-3	combined	Drop	0	0	0	0
3	leaf-4	combined	Drop	0	0	0	0
3	leaf-5	combined	Drop	0	0	0	0
3	leaf-6	combined	Drop	0	0	0	0
3	leaf-7	combined	Drop	0	0	0	0
3	leaf-8	combined	Drop	0	0	0	0
3	leaf-9	combined	Drop	0	0	0	0
3	leaf-10	combined	Drop	0	0	0	0
3	leaf-11	combined	Drop	0	0	0	0
3	leaf-12	combined	Drop	0	0	0	0
3	leaf-13	combined	Drop	0	0	0	0
3	leaf-14	combined	Drop	0	0	0	0
3	leaf-15	combined	Drop	0	0	0	0
3	leaf-16	combined	Drop	0	0	0	0
3.5	gw-root	combined	Drop	0	0	0	0
3.5	bb-1	combined	Drop	0	0	0	0
3.5	bb-2	combined	Drop	0	0	0	0
3.5	bb-3	combined	Drop	0	0	0	0
3.5	bb-4	combined	Drop	0	0	0	0
3.5	bb-5	combined	Drop	0	0	0	0
3.5	bb-6	combined	Drop	0	0	0	0
3.5	bb-7	combined	Drop	0	0	0	0
3.5	bb-8	combined	Drop	0	0	0	0
3.5	cgw-1	combined	Drop	0	0	0	0
3.5	cgw-2	combined	Drop	0	0	0	0
3.5	cgw-3	combined	Drop	0	0	0	0
3.5	cgw-4	combined	Drop	0	0	0	0
3.5	cgw-5	combined	Drop	0	0	0	0
3.5	cgw-6	combined	Drop	0	0	0	0
3.5	cgw-7	combined	Drop	0	0	0	0
3.5	cgw-8	combined	Drop	0	0	0	0
3.5	leaf-1	combined	Drop	0	0	0	0
3.5	leaf-2	combined	Drop	0	0	0	0
3.5	leaf-3	combined	Drop	0	0	0	0
3.5	leaf-4	combined	Drop	0	0	0	0
3.5	leaf-5	combined	Drop	0	0	0	0
3.5	leaf-6	combined	Drop	0	0	0	0
3.5	leaf-7	combined	Drop	0	0	0	0
3.5	leaf-8	combined	Drop	0	0	0	0
3.5	leaf-9	combined	Drop	0	0	0	0
3.5	leaf-10	combined	Drop	0	0	0	0
3.5	leaf-11	combined	Drop	0	0	0	0
3.5	leaf-12	combined	Drop	0	0	0	0
3.5	leaf-13	combined	Drop	0	0	0	0
3.5	leaf-14	combined	Drop	0	0	0	0
3.5	leaf-15	combined	Drop	0	0	0	0
3.5	leaf-16	combined	Drop	0	0	0	0
4	gw-root	combined	Drop	0	0	0	0
4	bb-1	combined	Drop	0	0	0	0
4	bb-2	combined	Drop	0	0	0	0
4	bb-3	combined	Drop	0	0	0	0
4	bb-4	combined	Drop	0	0	0	0
4	bb-5	combined	Drop	0	0	0	0
4	bb-6	combined	Drop	0	0	0	0
4	bb-7	combined	Drop	0	0	0	0
4	bb-8	combined	Drop	0	0	0	0
4	cgw-1	combined	Drop	0	0	0	0
4	cgw-2	combined	Drop	0	0	0	0
4	cgw-3	combined	Drop	0	0	0	0
4	cgw-4	combined	Drop	0	0	0	0
4	cgw-5	combined	Drop	0	0	0	0
4	cgw-6	combined	Drop	0	0	0	0
4	cgw-7	combined	Drop	0	0	0	0
4	cgw-8	combined	Drop	0	0	0	0
4	leaf-1	combined	Drop	0	0	0	0
4	leaf-2	combined	Drop	0	0	0	0
4	leaf-3	combined	Drop	0	0	0	0
4	leaf-4	combined	Drop	0	0	0	0
4	leaf-5	combined	Drop	0	0	0	0
4	leaf-6	combined	Drop	0	0	0	0
4	leaf-7	combined	Drop	0	0	0	0
